Z,A,E0,ThetaDeg,Ex,cross,error,dataSet
6,12,0.1506,180.0,0.0115,66.0,38.0,17
6,12,0.1506,180.0,0.0124,104.5,50.5,17
6,12,0.1506,180.0,0.0131,104.5,50.5,17
6,12,0.1506,180.0,0.0138,155.5,50.5,17
6,12,0.1506,180.0,0.0145,534.0,76.0,17
6,12,0.1506,180.0,0.0149,799.0,63.0,17
6,12,0.1506,180.0,0.0155,1772.0,75.5,17
6,12,0.1506,180.0,0.016,2226.0,75.5,17
6,12,0.1506,180.0,0.017,2150.0,50.5,17
6,12,0.1506,180.0,0.0173,1760.0,113.5,17
6,12,0.1506,180.0,0.0179,1406.0,88.0,17
6,12,0.1506,180.0,0.0183,2505.0,101.0,17
6,12,0.1506,180.0,0.019,3818.0,101.0,17
6,12,0.1506,180.0,0.0194,4272.0,75.5,17
6,12,0.1506,180.0,0.0201,4538.0,38.0,17
6,12,0.1506,180.0,0.0207,3541.0,101.0,17
6,12,0.1506,180.0,0.0209,2632.0,126.5,17
6,12,0.1506,180.0,0.0214,2190.0,63.0,17
6,12,0.1506,180.0,0.0216,1774.0,50.5,17
6,12,0.1506,180.0,0.0223,1748.0,101.0,17
6,12,0.1506,180.0,0.0228,1634.0,88.5,17
6,12,0.1506,180.0,0.0232,1723.0,76.0,17
6,12,0.1506,180.0,0.0238,1748.0,75.5,17
6,12,0.1506,180.0,0.0244,1888.0,88.5,17
6,12,0.1506,180.0,0.0247,2052.0,101.0,17
6,12,0.1506,180.0,0.0253,2052.0,101.0,17
6,12,0.1506,180.0,0.026,2103.0,101.0,17
6,12,0.1506,180.0,0.0266,2064.0,88.5,17
6,12,0.1506,180.0,0.0273,2002.0,101.0,17
6,12,0.1506,180.0,0.0277,2192.0,88.5,17
6,12,0.1506,180.0,0.0299,2368.0,113.5,17
6,12,0.1506,180.0,0.0317,2572.0,113.5,17
6,12,0.1506,180.0,0.0338,2812.0,126.5,17
6,12,0.1506,180.0,0.0358,3078.0,113.5,17
6,12,0.1506,180.0,0.0379,3469.0,101.0,17
6,12,0.1506,180.0,0.0399,3735.0,164.0,17
6,12,0.1506,180.0,0.0418,3862.0,164.5,17
6,12,0.1506,180.0,0.0437,4039.0,164.0,17
6,12,0.1506,180.0,0.046,4191.0,164.0,17
6,12,0.1506,180.0,0.048,4154.0,151.5,17
6,12,0.1506,180.0,0.0496,4166.0,164.5,17
6,12,0.1506,180.0,0.0517,4066.0,189.0,17
6,12,0.1506,180.0,0.054,3826.0,151.5,17
6,12,0.1506,180.0,0.0558,3776.0,151.5,17
6,12,0.1506,180.0,0.0579,3726.0,151.5,17
6,12,0.1506,180.0,0.0601,3576.0,126.0,17
6,12,0.1506,180.0,0.0618,3236.0,113.5,17
6,12,0.1506,180.0,0.0638,3185.0,139.0,17
6,12,0.1506,180.0,0.066,2946.0,126.0,17
6,12,0.1506,180.0,0.0676,2795.0,126.0,17
6,12,0.1506,180.0,0.0699,2492.0,176.5,17
6,12,0.1506,180.0,0.0718,2392.0,151.5,17
6,12,0.1506,180.0,0.074,2190.0,126.5,17
6,12,0.1506,180.0,0.0759,2128.0,113.5,17
6,12,0.1506,180.0,0.0779,1990.0,126.5,17
6,12,0.1506,180.0,0.0799,1864.0,126.5,17
6,12,0.1506,180.0,0.082,1725.0,139.0,17
6,12,0.1506,180.0,0.084,1726.0,113.5,17
6,12,0.1506,180.0,0.0857,1752.0,113.5,17
6,12,0.1506,180.0,0.088,1651.0,139.0,17
6,12,0.1506,180.0,0.0898,1436.0,151.5,17
6,12,0.1506,180.0,0.0916,1236.0,126.5,17
6,12,0.1506,180.0,0.0939,1135.0,126.0,17
6,12,0.1506,180.0,0.0957,946.0,114.0,17
